R,G,B,hue,High_or_Low
15,2,2,0.0,High group
22,6,6,0.0,High group
9,1,1,0.0,High group
-13,-9,-9,0.0,High group
0,-1,-1,0.0,High group
-12,0,0,0.0,High group
5,3,3,0.0,High group
7,10,10,0.0,High group
-13,0,0,0.0,High group
2,4,4,0.0,High group
-24,-8,-8,0.0,High group
-19,-8,-8,0.0,High group
-1,-2,-2,0.0,High group
-4,-3,-3,0.0,High group
-22,-2,-2,0.0,High group
13,8,8,0.0,High group
4,0,0,0.0,High group
-19,-9,-9,0.0,High group
13,6,6,0.0,High group
18,13,13,0.0,High group
-20,-7,-7,0.0,High group
-23,-1,-1,0.0,High group
0,-2,-2,0.0,High group
10,3,3,0.0,High group
-19,-5,-5,0.0,High group
-7,-7,-7,0.0,High group
20,-1,-1,0.0,High group
22,12,12,0.0,High group
11,0,0,0.0,High group
-22,-3,-3,0.0,High group
-7,1,1,0.0,High group
7,5,5,0.0,High group
5,3,3,0.0,High group
4,0,0,0.0,High group
25,14,14,0.0,High group
10,-4,-4,0.0,High group
-15,-4,-4,0.0,High group
23,0,0,0.0,High group
-8,-3,-3,0.0,High group
15,13,13,0.0,High group
3,-3,-3,0.0,High group
8,4,4,0.0,High group
11,5,5,0.0,High group
-7,-6,-6,0.0,High group
-12,2,2,0.0,High group
1,-3,-3,0.0,High group
7,0,0,0.0,High group
-6,-5,-5,0.0,High group
5,-2,-2,0.0,High group
-17,-6,-6,0.0,High group
6,-1,-1,0.0,High group
16,2,2,0.0,High group
7,0,0,0.0,High group
-11,-6,-6,0.0,High group
12,7,7,0.0,High group
-16,1,1,0.0,High group
-22,-4,-4,0.0,High group
-8,2,2,0.0,High group
20,3,3,0.0,High group
10,-2,-2,0.0,High group
-2,7,7,0.0,High group
19,2,2,0.0,High group
-19,-3,-3,0.0,High group
2,-2,-2,0.0,High group
-19,-5,-5,0.0,High group
-23,-2,-2,0.0,High group
25,1,1,0.0,High group
-6,-3,-3,0.0,High group
-24,-10,-10,0.0,High group
21,-2,-2,0.0,High group
-17,-2,-2,0.0,High group
21,15,15,0.0,High group
0,4,4,0.0,High group
20,4,4,0.0,High group
-23,-5,-5,0.0,High group
15,-2,-2,0.0,High group
3,-3,-3,0.0,High group
0,6,6,0.0,High group
-12,-5,-5,0.0,High group
-18,-9,-9,0.0,High group
-24,-2,-2,0.0,High group
-4,4,4,0.0,High group
16,6,6,0.0,High group
-20,-2,-2,0.0,High group
-12,-5,-5,0.0,High group
0,1,1,0.0,High group
-10,2,2,0.0,High group
7,-2,-2,0.0,High group
-2,0,0,0.0,High group
-7,2,2,0.0,High group
-15,-3,-3,0.0,High group
-1,-3,-3,0.0,High group
-16,-6,-6,0.0,High group
-9,2,2,0.0,High group
-3,2,2,0.0,High group
22,7,7,0.0,High group
6,1,1,0.0,High group
-21,-10,-10,0.0,High group
-8,-7,-7,0.0,High group
16,4,4,0.0,High group
-11,2,2,0.0,High group
-14,-3,-3,0.0,High group
14,0,0,0.0,High group
-1,-4,-4,0.0,High group
19,2,2,0.0,High group
9,-1,-1,0.0,High group
1,-6,-6,0.0,High group
-2,-3,-3,0.0,High group
-22,-3,-3,0.0,High group
24,0,0,0.0,High group
11,2,2,0.0,High group
17,7,7,0.0,High group
6,-5,-5,0.0,High group
22,9,9,0.0,High group
22,7,7,0.0,High group
20,0,0,0.0,High group
1,-1,-1,0.0,High group
14,-3,-3,0.0,High group
22,1,1,0.0,High group
-15,-7,-7,0.0,High group
15,4,4,0.0,High group
24,10,10,0.0,High group
-17,-8,-8,0.0,High group
13,4,4,0.0,High group
-14,-9,-9,0.0,High group
7,0,0,0.0,High group
-9,4,4,0.0,High group
14,-2,-2,0.0,High group
4,7,7,0.0,High group
2,-2,-2,0.0,High group
-4,-3,-3,0.0,High group
0,-1,-1,0.0,High group
-19,-7,-7,0.0,High group
0,4,4,0.0,High group
5,7,7,0.0,High group
14,7,7,0.0,High group
19,4,4,0.0,High group
11,1,1,0.0,High group
6,7,7,0.0,High group
6,-3,-3,0.0,High group
3,0,0,0.0,High group
25,-1,-1,0.0,High group
14,13,13,0.0,High group
-7,-7,-7,0.0,High group
10,0,0,0.0,High group
-18,-8,-8,0.0,High group
3,8,8,0.0,High group
0,-1,-1,0.0,High group
10,6,6,0.0,High group
-9,-4,-4,0.0,High group
-22,-4,-4,0.0,High group
19,12,12,0.0,High group
5,0,0,0.0,High group
-10,0,0,0.0,High group
3,8,8,0.0,High group
1,8,8,0.0,High group
-13,-5,-5,0.0,High group
24,13,13,0.0,High group
17,5,5,0.0,High group
12,5,5,0.0,High group
-12,2,2,0.0,High group
3,5,5,0.0,High group
1,0,0,0.0,High group
17,2,2,0.0,High group
24,2,2,0.0,High group
23,0,0,0.0,High group
-7,-5,-5,0.0,High group
-19,-7,-7,0.0,High group
19,0,0,0.0,High group
8,-4,-4,0.0,High group
23,14,14,0.0,High group
10,3,3,0.0,High group
-22,-4,-4,0.0,High group
14,8,8,0.0,High group
-21,-6,-6,0.0,High group
13,11,11,0.0,High group
17,0,0,0.0,High group
20,11,11,0.0,High group
-24,-8,-8,0.0,High group
-18,-1,-1,0.0,High group
-2,1,1,0.0,High group
-10,-3,-3,0.0,High group
-12,-6,-6,0.0,High group
3,5,5,0.0,High group
5,8,8,0.0,High group
-2,0,0,0.0,High group
9,11,11,0.0,High group
20,8,8,0.0,High group
21,3,3,0.0,High group
0,1,1,0.0,High group
22,-1,-1,0.0,High group
-13,-9,-9,0.0,High group
-1,7,7,0.0,High group
-12,0,0,0.0,High group
-6,-1,-1,0.0,High group
-22,-11,-11,0.0,High group
-15,-3,-3,0.0,High group
-21,-9,-9,0.0,High group
6,-3,-3,0.0,High group
-12,1,1,0.0,High group
-5,-5,-5,0.0,High group
2,7,7,0.0,High group
-6,-4,-4,0.0,High group
0,-4,-4,0.0,High group
14,7,7,0.0,High group
8,4,4,0.0,High group
25,5,5,0.0,High group
10,-3,-3,0.0,High group
-1,5,5,0.0,High group
17,3,3,0.0,High group
-3,6,6,0.0,High group
22,16,16,0.0,High group
-2,-5,-5,0.0,High group
-24,-4,-4,0.0,High group
-22,-1,-1,0.0,High group
-20,-4,-4,0.0,High group
-22,-5,-5,0.0,High group
23,6,6,0.0,High group
23,17,17,0.0,High group
-17,-7,-7,0.0,High group
6,-2,-2,0.0,High group
3,5,5,0.0,High group
10,3,3,0.0,High group
-2,0,0,0.0,High group
22,7,7,0.0,High group
-11,-5,-5,0.0,High group
-7,2,2,0.0,High group
-3,0,0,0.0,High group
19,0,0,0.0,High group
-10,0,0,0.0,High group
24,9,9,0.0,High group
-24,-3,-3,0.0,High group
-9,-2,-2,0.0,High group
10,4,4,0.0,High group
10,5,5,0.0,High group
9,9,9,0.0,High group
-6,0,0,0.0,High group
-9,2,2,0.0,High group
-16,-4,-4,0.0,High group
-13,-7,-7,0.0,High group
-15,-3,-3,0.0,High group
-4,2,2,0.0,High group
-19,-8,-8,0.0,High group
25,6,6,0.0,High group
-7,3,3,0.0,High group
13,6,6,0.0,High group
13,0,0,0.0,High group
-12,0,0,0.0,High group
15,7,7,0.0,High group
3,-3,-3,0.0,High group
17,9,9,0.0,High group
-13,-8,-8,0.0,High group
-6,2,2,0.0,High group
-13,-9,-9,0.0,High group
11,3,3,0.0,High group
-25,-8,-8,0.0,High group
-9,-1,-1,0.0,High group
-24,-6,-6,0.0,High group
10,2,2,0.0,High group
19,2,2,0.0,High group
14,6,6,0.0,High group
-23,-4,-4,0.0,High group
7,8,8,0.0,High group
-10,-7,-7,0.0,High group
-13,-8,-8,0.0,High group
-11,-5,-5,0.0,High group
10,0,0,0.0,High group
3,4,4,0.0,High group
-6,0,0,0.0,High group
-8,-2,-2,0.0,High group
10,11,11,0.0,High group
10,10,10,0.0,High group
-14,0,0,0.0,High group
10,8,8,0.0,High group
-2,2,2,0.0,High group
-3,4,4,0.0,High group
6,5,5,0.0,High group
-24,-11,-11,0.0,High group
20,-2,-2,0.0,High group
14,5,5,0.0,High group
10,10,10,0.0,High group
4,-4,-4,0.0,High group
4,5,5,0.0,High group
7,8,8,0.0,High group
1,5,5,0.0,High group
17,-1,-1,0.0,High group
-19,-7,-7,0.0,High group
25,12,12,0.0,High group
24,7,7,0.0,High group
-18,-2,-2,0.0,High group
-19,-4,-4,0.0,High group
10,8,8,0.0,High group
14,3,3,0.0,High group
-5,-4,-4,0.0,High group
-6,-6,-6,0.0,High group
23,6,6,0.0,High group
8,6,6,0.0,High group
6,0,0,0.0,High group
4,7,7,0.0,High group
-4,-2,-2,0.0,High group
-8,3,3,0.0,High group
-8,-3,-3,0.0,High group
-19,-5,-5,0.0,High group
0,5,5,0.0,High group
4,0,0,0.0,High group
-16,0,0,0.0,High group
0,7,7,0.0,High group
2,-4,-4,0.0,High group
10,10,10,0.0,High group
2,-2,-2,0.0,High group
-8,2,2,0.0,High group
-22,-8,-8,0.0,High group
-13,-4,-4,0.0,High group
14,8,8,0.0,High group
6,9,9,0.0,High group
-12,-8,-8,0.0,High group
14,6,6,0.0,High group
15,1,1,0.0,High group
-9,-7,-7,0.0,High group
23,11,11,0.0,High group
-4,0,0,0.0,High group
7,2,2,0.0,High group
10,11,11,0.0,High group
-24,-3,-3,0.0,High group
-7,-2,-2,0.0,High group
-3,0,0,0.0,High group
-15,-7,-7,0.0,High group
4,-2,-2,0.0,High group
-17,0,0,0.0,High group
24,0,0,0.0,High group
-4,-5,-5,0.0,High group
-22,-1,-1,0.0,High group
21,-1,-1,0.0,High group
0,-6,-6,0.0,High group
14,13,13,0.0,High group
-12,0,0,0.0,High group
-21,-9,-9,0.0,High group
-23,-5,-5,0.0,High group
-19,-1,-1,0.0,High group
-12,-1,-1,0.0,High group
-11,0,0,0.0,High group
-4,-2,-2,0.0,High group
18,5,5,0.0,High group
3,3,3,0.0,High group
4,5,5,0.0,High group
-8,-8,-8,0.0,High group
-5,-1,-1,0.0,High group
-19,-9,-9,0.0,High group
20,-2,-2,0.0,High group
8,-4,-4,0.0,High group
-1,4,4,0.0,High group
19,4,4,0.0,High group
21,11,11,0.0,High group
16,2,2,0.0,High group
-23,-3,-3,0.0,High group
-25,-8,-8,0.0,High group
-1,-1,-1,0.0,High group
13,13,13,0.0,High group
-19,-10,-10,0.0,High group
-13,-8,-8,0.0,High group
0,-2,-2,0.0,High group
-15,-8,-8,0.0,High group
0,4,4,0.0,High group
22,15,15,0.0,High group
-15,-3,-3,0.0,High group
25,15,15,0.0,High group
-9,-3,-3,0.0,High group
-14,0,0,0.0,High group
24,13,13,0.0,High group
15,1,1,0.0,High group
1,2,2,0.0,High group
-19,-10,-10,0.0,High group
-14,-6,-6,0.0,High group
0,5,5,0.0,High group
-23,-2,-2,0.0,High group
-12,-5,-5,0.0,High group
-19,0,0,0.0,High group
-14,-1,-1,0.0,High group
8,2,2,0.0,High group
13,-1,-1,0.0,High group
22,13,13,0.0,High group
4,-5,-5,0.0,High group
17,10,10,0.0,High group
-8,4,4,0.0,High group
-22,-6,-6,0.0,High group
13,4,4,0.0,High group
17,-1,-1,0.0,High group
-22,-2,-2,0.0,High group
-4,0,0,0.0,High group
22,6,6,0.0,High group
-16,1,1,0.0,High group
14,0,0,0.0,High group
-8,4,4,0.0,High group
-4,-4,-4,0.0,High group
-12,-8,-8,0.0,High group
-12,-9,-9,0.0,High group
-10,-3,-3,0.0,High group
9,11,11,0.0,High group
-9,-1,-1,0.0,High group
-16,-2,-2,0.0,High group
-20,-6,-6,0.0,High group
0,0,0,0.0,High group
-6,-4,-4,0.0,High group
7,5,5,0.0,High group
-8,-8,-8,0.0,High group
21,0,0,0.0,High group
14,13,13,0.0,High group
22,0,0,0.0,High group
-24,-5,-5,0.0,High group
-1,-1,-1,0.0,High group
2,2,2,0.0,High group
8,9,9,0.0,High group
12,-3,-3,0.0,High group
-23,-10,-10,0.0,High group
11,1,1,0.0,High group
-1,0,0,0.0,High group
-6,4,4,0.0,High group
-4,3,3,0.0,High group
-13,1,1,0.0,High group
6,0,0,0.0,High group
-17,-4,-4,0.0,High group
-8,1,1,0.0,High group
-20,-10,-10,0.0,High group
-20,0,0,0.0,High group
-15,-9,-9,0.0,High group
20,7,7,0.0,High group
-19,-8,-8,0.0,High group
14,11,11,0.0,High group
-17,-7,-7,0.0,High group
24,4,4,0.0,High group
16,-2,-2,0.0,High group
-4,-3,-3,0.0,High group
-18,-1,-1,0.0,High group
-12,-2,-2,0.0,High group
8,1,1,0.0,High group
22,4,4,0.0,High group
-17,-4,-4,0.0,High group
7,1,1,0.0,High group
13,-2,-2,0.0,High group
0,5,5,0.0,High group
1,5,5,0.0,High group
-1,-5,-5,0.0,High group
12,4,4,0.0,High group
11,1,1,0.0,High group
18,2,2,0.0,High group
21,6,6,0.0,High group
3,1,1,0.0,High group
-19,-8,-8,0.0,High group
14,12,12,0.0,High group
-24,-10,-10,0.0,High group
22,0,0,0.0,High group
-24,-3,-3,0.0,High group
8,6,6,0.0,High group
-15,-4,-4,0.0,High group
-9,2,2,0.0,High group
-20,-1,-1,0.0,High group
-10,0,0,0.0,High group
-5,-6,-6,0.0,High group
-11,-6,-6,0.0,High group
-16,-6,-6,0.0,High group
19,0,0,0.0,High group
-7,2,2,0.0,High group
-2,5,5,0.0,High group
1,6,6,0.0,High group
20,0,0,0.0,High group
-20,0,0,0.0,High group
-15,-2,-2,0.0,High group
12,4,4,0.0,High group
-18,-6,-6,0.0,High group
9,3,3,0.0,High group
-4,-6,-6,0.0,High group
-9,-3,-3,0.0,High group
3,3,3,0.0,High group
-22,-1,-1,0.0,High group
-5,5,5,0.0,High group
19,2,2,0.0,High group
-25,-4,-4,0.0,High group
-21,-1,-1,0.0,High group
-13,-3,-3,0.0,High group
-4,-6,-6,0.0,High group
-8,-2,-2,0.0,High group
14,3,3,0.0,High group
-14,0,0,0.0,High group
-2,-3,-3,0.0,High group
-20,-1,-1,0.0,High group
24,4,4,0.0,High group
11,4,4,0.0,High group
-1,4,4,0.0,High group
4,-3,-3,0.0,High group
3,-4,-4,0.0,High group
6,-3,-3,0.0,High group
3,-2,-2,0.0,High group
7,3,3,0.0,High group
-22,-9,-9,0.0,High group
-17,-3,-3,0.0,High group
1,-5,-5,0.0,High group
0,-5,-5,0.0,High group
-24,-8,-8,0.0,High group
20,-2,-2,0.0,High group
-16,-3,-3,0.0,High group
-15,-5,-5,0.0,High group
-12,2,2,0.0,High group
5,4,4,0.0,High group
-6,3,3,0.0,High group
17,10,10,0.0,High group
-23,-11,-11,0.0,High group
-12,3,3,0.0,High group
7,8,8,0.0,High group
0,-1,-1,0.0,High group
-9,-6,-6,0.0,High group
-12,-2,-2,0.0,High group
13,4,4,0.0,High group
-23,-6,-6,0.0,High group
-20,0,0,0.0,High group
-13,-4,-4,0.0,High group
0,6,6,0.0,High group
-24,-2,-2,0.0,High group
-2,0,0,0.0,High group
13,11,11,0.0,High group
-3,2,2,0.0,High group
-4,-5,-5,0.0,High group
9,9,9,0.0,High group
6,-4,-4,0.0,High group
1,1,1,0.0,High group
-7,-2,-2,0.0,High group
-1,-4,-4,0.0,High group
-5,0,0,0.0,High group
-12,-3,-3,0.0,High group
17,9,9,0.0,High group
-9,-2,-2,0.0,High group
-16,-2,-2,0.0,High group
25,7,7,0.0,High group
-11,-7,-7,0.0,High group
-15,-5,-5,0.0,High group
3,1,1,0.0,High group
16,8,8,0.0,High group
17,7,7,0.0,High group
13,-3,-3,0.0,High group
5,-4,-4,0.0,High group
-12,1,1,0.0,High group
-14,1,1,0.0,High group
4,-2,-2,0.0,High group
19,12,12,0.0,High group
-18,-6,-6,0.0,High group
-24,-4,-4,0.0,High group
-2,7,7,0.0,High group
3,0,0,0.0,High group
-1,1,1,0.0,High group
24,0,0,0.0,High group
-5,-5,-5,0.0,High group
20,0,0,0.0,High group
-22,0,0,0.0,High group
-10,2,2,0.0,High group
-4,4,4,0.0,High group
-1,-5,-5,0.0,High group
-14,-8,-8,0.0,High group
-13,-9,-9,0.0,High group
-9,-2,-2,0.0,High group
-16,-2,-2,0.0,High group
1,-5,-5,0.0,High group
-9,-6,-6,0.0,High group
2,0,0,0.0,High group
-4,-5,-5,0.0,High group
-22,-6,-6,0.0,High group
6,-2,-2,0.0,High group
-19,-1,-1,0.0,High group
9,-2,-2,0.0,High group
-13,-5,-5,0.0,High group
-11,3,3,0.0,High group
-24,-9,-9,0.0,High group
-17,-8,-8,0.0,High group
24,3,3,0.0,High group
21,-1,-1,0.0,High group
-12,-8,-8,0.0,High group
1,4,4,0.0,High group
0,3,3,0.0,High group
-25,-4,-4,0.0,High group
1,0,0,0.0,High group
-11,1,1,0.0,High group
-14,-2,-2,0.0,High group
-23,-8,-8,0.0,High group
9,6,6,0.0,High group
16,7,7,0.0,High group
-20,-8,-8,0.0,High group
-14,-2,-2,0.0,High group
-4,-3,-3,0.0,High group
7,11,11,0.0,High group
-2,-5,-5,0.0,High group
21,-2,-2,0.0,High group
16,10,10,0.0,High group
9,0,0,0.0,High group
22,-2,-2,0.0,High group
18,2,2,0.0,High group
20,15,15,0.0,High group
9,9,9,0.0,High group
-11,-5,-5,0.0,High group
-17,-2,-2,0.0,High group
3,8,8,0.0,High group
0,-4,-4,0.0,High group
6,9,9,0.0,High group
-10,-1,-1,0.0,High group
13,13,13,0.0,High group
1,1,1,0.0,High group
23,13,13,0.0,High group
-7,-2,-2,0.0,High group
-6,-5,-5,0.0,High group
-18,-10,-10,0.0,High group
24,14,14,0.0,High group
-22,-11,-11,0.0,High group
7,10,10,0.0,High group
4,0,0,0.0,High group
11,5,5,0.0,High group
10,-1,-1,0.0,High group
6,-2,-2,0.0,High group
-19,-3,-3,0.0,High group
18,10,10,0.0,High group
-17,-2,-2,0.0,High group
9,3,3,0.0,High group
-9,-5,-5,0.0,High group
-1,4,4,0.0,High group
-24,-2,-2,0.0,High group
-21,-6,-6,0.0,High group
0,-6,-6,0.0,High group
22,6,6,0.0,High group
-15,0,0,0.0,High group
8,7,7,0.0,High group
16,6,6,0.0,High group
11,9,9,0.0,High group
0,0,0,0.0,High group
3,-5,-5,0.0,High group
11,11,11,0.0,High group
1,0,0,0.0,High group
21,14,14,0.0,High group
11,5,5,0.0,High group
-8,-5,-5,0.0,High group
-15,0,0,0.0,High group
18,14,14,0.0,High group
-20,-5,-5,0.0,High group
10,10,10,0.0,High group
19,0,0,0.0,High group
-7,2,2,0.0,High group
-12,0,0,0.0,High group
23,13,13,0.0,High group
-6,-3,-3,0.0,High group
-3,-4,-4,0.0,High group
-8,0,0,0.0,High group
14,8,8,0.0,High group
-18,-4,-4,0.0,High group
8,8,8,0.0,High group
16,10,10,0.0,High group
-1,-4,-4,0.0,High group
16,11,11,0.0,High group
12,-4,-4,0.0,High group
-13,0,0,0.0,High group
-23,-5,-5,0.0,High group
-20,-4,-4,0.0,High group
20,8,8,0.0,High group
0,0,0,0.0,High group
16,6,6,0.0,High group
9,5,5,0.0,High group
-3,-7,-7,0.0,High group
4,-4,-4,0.0,High group
-7,-1,-1,0.0,High group
-10,-8,-8,0.0,High group
20,7,7,0.0,High group
12,-3,-3,0.0,High group
20,10,10,0.0,High group
19,13,13,0.0,High group
13,12,12,0.0,High group
-16,-9,-9,0.0,High group
-9,-1,-1,0.0,High group
25,5,5,0.0,High group
-22,-10,-10,0.0,High group
4,-5,-5,0.0,High group
-9,1,1,0.0,High group
1,-6,-6,0.0,High group
-3,4,4,0.0,High group
24,10,10,0.0,High group
-9,2,2,0.0,High group
-19,0,0,0.0,High group
2,3,3,0.0,High group
8,3,3,0.0,High group
23,10,10,0.0,High group
-21,-10,-10,0.0,High group
-22,-6,-6,0.0,High group
-5,-3,-3,0.0,High group
-19,-3,-3,0.0,High group
0,-1,-1,0.0,High group
-12,1,1,0.0,High group
-6,0,0,0.0,High group
-18,-7,-7,0.0,High group
15,7,7,0.0,High group
-15,-7,-7,0.0,High group
-20,-10,-10,0.0,High group
20,8,8,0.0,High group
10,6,6,0.0,High group
7,4,4,0.0,High group
15,12,12,0.0,High group
1,-1,-1,0.0,High group
9,7,7,0.0,High group
-5,-5,-5,0.0,High group
2,2,2,0.0,High group
12,8,8,0.0,High group
21,0,0,0.0,High group
10,9,9,0.0,High group
19,2,2,0.0,High group
4,1,1,0.0,High group
-7,0,0,0.0,High group
24,15,15,0.0,High group
0,7,7,0.0,High group
-5,1,1,0.0,High group
-20,0,0,0.0,High group
16,0,0,0.0,High group
-20,-9,-9,0.0,High group
-11,0,0,0.0,High group
23,17,17,0.0,High group
11,-2,-2,0.0,High group
4,3,3,0.0,High group
0,5,5,0.0,High group
-9,-1,-1,0.0,High group
0,-6,-6,0.0,High group
20,7,7,0.0,High group
20,14,14,0.0,High group
-21,-3,-3,0.0,High group
-1,1,1,0.0,High group
22,15,15,0.0,High group
9,11,11,0.0,High group
0,-1,-1,0.0,High group
8,-5,-5,0.0,High group
-11,0,0,0.0,High group
-23,-11,-11,0.0,High group
-3,-5,-5,0.0,High group
22,-2,-2,0.0,High group
20,5,5,0.0,High group
-24,-7,-7,0.0,High group
9,7,7,0.0,High group
-11,-3,-3,0.0,High group
-1,0,0,0.0,High group
-9,-2,-2,0.0,High group
24,0,0,0.0,High group
-7,-1,-1,0.0,High group
14,-1,-1,0.0,High group
4,9,9,0.0,High group
11,0,0,0.0,High group
2,4,4,0.0,High group
-12,-7,-7,0.0,High group
22,-1,-1,0.0,High group
18,1,1,0.0,High group
-4,1,1,0.0,High group
-14,-3,-3,0.0,High group
0,3,3,0.0,High group
21,16,16,0.0,High group
10,1,1,0.0,High group
9,0,0,0.0,High group
1,-1,-1,0.0,High group
-14,-9,-9,0.0,High group
14,8,8,0.0,High group
-6,1,1,0.0,High group
-3,-3,-3,0.0,High group
-20,-5,-5,0.0,High group
-21,-1,-1,0.0,High group
-12,-8,-8,0.0,High group
19,1,1,0.0,High group
-20,-7,-7,0.0,High group
-9,3,3,0.0,High group
-13,-1,-1,0.0,High group
5,-2,-2,0.0,High group
11,3,3,0.0,High group
10,4,4,0.0,High group
8,6,6,0.0,High group
10,0,0,0.0,High group
13,1,1,0.0,High group
23,10,10,0.0,High group
18,11,11,0.0,High group
-5,4,4,0.0,High group
24,9,9,0.0,High group
-5,0,0,0.0,High group
-8,0,0,0.0,High group
5,4,4,0.0,High group
-10,-5,-5,0.0,High group
5,0,0,0.0,High group
7,-3,-3,0.0,High group
18,6,6,0.0,High group
-22,-8,-8,0.0,High group
13,-3,-3,0.0,High group
-12,-5,-5,0.0,High group
12,6,6,0.0,High group
3,-4,-4,0.0,High group
-14,-9,-9,0.0,High group
-7,4,4,0.0,High group
9,3,3,0.0,High group
-17,-3,-3,0.0,High group
-24,-7,-7,0.0,High group
6,4,4,0.0,High group
-10,-2,-2,0.0,High group
-8,3,3,0.0,High group
13,7,7,0.0,High group
24,11,11,0.0,High group
25,18,18,0.0,High group
23,13,13,0.0,High group
-4,-5,-5,0.0,High group
-6,0,0,0.0,High group
-14,-3,-3,0.0,High group
-20,-9,-9,0.0,High group
16,2,2,0.0,High group
15,10,10,0.0,High group
-1,-1,-1,0.0,High group
13,2,2,0.0,High group
-13,2,2,0.0,High group
4,8,8,0.0,High group
-5,5,5,0.0,High group
14,12,12,0.0,High group
17,11,11,0.0,High group
23,16,16,0.0,High group
-13,-8,-8,0.0,High group
-10,-4,-4,0.0,High group
14,8,8,0.0,High group
-24,-3,-3,0.0,High group
-13,-7,-7,0.0,High group
-20,-1,-1,0.0,High group
12,12,12,0.0,High group
-19,0,0,0.0,High group
-9,-4,-4,0.0,High group
12,-3,-3,0.0,High group
-16,0,0,0.0,High group
21,3,3,0.0,High group
-6,0,0,0.0,High group
9,-4,-4,0.0,High group
-4,-7,-7,0.0,High group
-12,-1,-1,0.0,High group
-7,-4,-4,0.0,High group
-22,-11,-11,0.0,High group
-21,-4,-4,0.0,High group
-6,0,0,0.0,High group
-14,-9,-9,0.0,High group
-6,0,0,0.0,High group
-21,-2,-2,0.0,High group
-4,-2,-2,0.0,High group
-4,0,0,0.0,High group
-15,-9,-9,0.0,High group
-23,-10,-10,0.0,High group
-21,-2,-2,0.0,High group
-2,-7,-7,0.0,High group
6,2,2,0.0,High group
-11,-4,-4,0.0,High group
-15,-4,-4,0.0,High group
-21,-7,-7,0.0,High group
-2,-7,-7,0.0,High group
-19,0,0,0.0,High group
1,-3,-3,0.0,High group
-21,-9,-9,0.0,High group
-4,3,3,0.0,High group
-20,-8,-8,0.0,High group
3,-3,-3,0.0,High group
-14,-2,-2,0.0,High group
14,11,11,0.0,High group
21,0,0,0.0,High group
-4,1,1,0.0,High group
10,4,4,0.0,High group
19,6,6,0.0,High group
-18,0,0,0.0,High group
-2,-4,-4,0.0,High group
-4,-4,-4,0.0,High group
-17,-8,-8,0.0,High group
-20,-8,-8,0.0,High group
10,4,4,0.0,High group
-9,-5,-5,0.0,High group
-21,-9,-9,0.0,High group
15,-2,-2,0.0,High group
-14,-6,-6,0.0,High group
-4,-1,-1,0.0,High group
24,4,4,0.0,High group
-20,-6,-6,0.0,High group
1,2,2,0.0,High group
18,-2,-2,0.0,High group
11,4,4,0.0,High group
-20,-7,-7,0.0,High group
23,14,14,0.0,High group
-6,-6,-6,0.0,High group
18,-3,-3,0.0,High group
24,3,3,0.0,High group
-10,1,1,0.0,High group
-14,-6,-6,0.0,High group
9,10,10,0.0,High group
17,2,2,0.0,High group
2,-4,-4,0.0,High group
-21,-9,-9,0.0,High group
-22,-10,-10,0.0,High group
-11,-2,-2,0.0,High group
-17,-4,-4,0.0,High group
19,15,15,0.0,High group
3,-3,-3,0.0,High group
19,7,7,0.0,High group
8,5,5,0.0,High group
-9,-2,-2,0.0,High group
21,11,11,0.0,High group
7,6,6,0.0,High group
-1,4,4,0.0,High group
-23,-5,-5,0.0,High group
19,13,13,0.0,High group
-17,0,0,0.0,High group
-15,-6,-6,0.0,High group
-16,-6,-6,0.0,High group
-22,-9,-9,0.0,High group
-20,0,0,0.0,High group
18,0,0,0.0,High group
24,8,8,0.0,High group
25,18,18,0.0,High group
13,6,6,0.0,High group
20,16,16,0.0,High group
-19,-1,-1,0.0,High group
-7,-2,-2,0.0,High group
-21,-1,-1,0.0,High group
-8,0,0,0.0,High group
24,0,0,0.0,High group
-4,1,1,0.0,High group
-14,-4,-4,0.0,High group
20,6,6,0.0,High group
-18,-7,-7,0.0,High group
19,5,5,0.0,High group
-2,0,0,0.0,High group
-6,-6,-6,0.0,High group
-3,4,4,0.0,High group
-5,1,1,0.0,High group
-17,-9,-9,0.0,High group
8,-1,-1,0.0,High group
-17,-4,-4,0.0,High group
6,5,5,0.0,High group
-23,-8,-8,0.0,High group
0,-1,-1,0.0,High group
16,10,10,0.0,High group
-23,-3,-3,0.0,High group
21,6,6,0.0,High group
7,10,10,0.0,High group
0,3,3,0.0,High group
15,13,13,0.0,High group
-14,-1,-1,0.0,High group
2,6,6,0.0,High group
-3,-6,-6,0.0,High group
8,6,6,0.0,High group
21,16,16,0.0,High group
-16,-8,-8,0.0,High group
10,-1,-1,0.0,High group
22,13,13,0.0,High group
-6,5,5,0.0,High group
10,5,5,0.0,High group
-17,-8,-8,0.0,High group
-22,-8,-8,0.0,High group
23,10,10,0.0,High group
8,8,8,0.0,High group
24,10,10,0.0,High group
-19,-8,-8,0.0,High group
25,0,0,0.0,High group
-20,-6,-6,0.0,High group
-8,-3,-3,0.0,High group
-20,-5,-5,0.0,High group
2,7,7,0.0,High group
6,6,6,0.0,High group
13,6,6,0.0,High group
-12,-9,-9,0.0,High group
-19,-10,-10,0.0,High group
21,13,13,0.0,High group
10,8,8,0.0,High group
12,1,1,0.0,High group
-17,-3,-3,0.0,High group
10,3,3,0.0,High group
-3,-2,-2,0.0,High group
-4,4,4,0.0,High group
-2,-4,-4,0.0,High group
